"","first_driver","second_driver","score","n_samples","p.value","type","samples"
"1","11p","4p",1,1,NA,"OV","12874085-a596-41ae-b4cd-817cb1ebb278.rds"
"2","15q","4p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"3","18p","4p",0.5,2,0.5,"OV","12874085-a596-41ae-b4cd-817cb1ebb278.rds 6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"4","17p","4p",0.5,2,0.5,"OV","3a6bce45-0431-49d8-82df-b1d9a738e5a6.rds ae82fead-2671-4335-a342-67bb69935ad9.rds"
"5","20p","4p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"6","12p","4p",0,1,NA,"OV","3a6bce45-0431-49d8-82df-b1d9a738e5a6.rds"
"7","18q","4p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"8","2p","4p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"9","20q","5p",1,1,NA,"OV","a330a96e-9897-4605-b5f1-5b5ef45cd365.rds"
"10","21q","5p",-1,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"11","22q","5p",1,1,NA,"OV","a330a96e-9897-4605-b5f1-5b5ef45cd365.rds"
"12","17p","5p",0,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"13","16q","5p",-1,1,NA,"OV","a330a96e-9897-4605-b5f1-5b5ef45cd365.rds"
"14","18q","5p",-1,1,NA,"OV","a330a96e-9897-4605-b5f1-5b5ef45cd365.rds"
"15","13q","5p",-1,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"16","19q","5q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"17","20q","5q",0.5,2,0.5,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"18","21q","5q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"19","11p","5q",0,2,NA,"OV","37522f18-77b2-4414-8df8-3c2c8048adba.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"20","18p","5q",0,3,NA,"OV","37522f18-77b2-4414-8df8-3c2c8048adba.rds 504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"21","17p","5q",0.5,2,0.5,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"22","12p","5q",0,1,NA,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds"
"23","3p","5q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"24","14whole","5q",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"25","18q","5q",-1,1,NA,"OV","37522f18-77b2-4414-8df8-3c2c8048adba.rds"
"26","2p","5q",0.5,2,0.5,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"27","10p","19q",0,1,NA,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds"
"28","11p","19q",0,2,NA,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"29","18p","19q",0,2,NA,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"30","17p","19q",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"31","14whole","19q",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"32","18q","19q",0,1,NA,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds"
"33","19q","20q",-1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"34","11p","20q",-1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"35","18p","20q",-0.333333333333333,3,0.422649730810374,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds e45f3391-2e74-4767-817a-280cebac7c57.rds"
"36","17p","20q",-0.333333333333333,3,0.422649730810374,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds e45f3391-2e74-4767-817a-280cebac7c57.rds"
"37","12p","20q",0,2,NA,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds e45f3391-2e74-4767-817a-280cebac7c57.rds"
"38","16q","20q",-1,1,NA,"OV","a330a96e-9897-4605-b5f1-5b5ef45cd365.rds"
"39","14whole","20q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"40","18q","20q",-1,1,NA,"OV","a330a96e-9897-4605-b5f1-5b5ef45cd365.rds"
"41","2p","20q",0,2,NA,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"42","19q","21q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"43","20q","21q",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"44","11p","21q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"45","18p","21q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"46","17p","21q",1,2,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"47","14whole","21q",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"48","2p","21q",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"49","13q","21q",0,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"50","20q","22q",0,1,NA,"OV","a330a96e-9897-4605-b5f1-5b5ef45cd365.rds"
"51","12p","22q",-1,1,NA,"OV","4e913899-eeb8-4630-ba9d-41a81ced8069.rds"
"52","16q","22q",-1,1,NA,"OV","a330a96e-9897-4605-b5f1-5b5ef45cd365.rds"
"53","18q","22q",-0.5,2,0.5,"OV","4e913899-eeb8-4630-ba9d-41a81ced8069.rds a330a96e-9897-4605-b5f1-5b5ef45cd365.rds"
"54","17q","22q",-1,1,NA,"OV","4e913899-eeb8-4630-ba9d-41a81ced8069.rds"
"55","4p","7p",0,2,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds ae82fead-2671-4335-a342-67bb69935ad9.rds"
"56","5q","7p",-1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"57","10p","7p",0,2,NA,"OV","1659bae5-3140-4d05-891c-81b48277b2fc.rds 6821446e-8e76-46fe-b0b9-47feb46d2585.rds"
"58","19q","7p",-1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"59","20q","7p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"60","21q","7p",-1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"61","16p","7p",0.5,2,0.5,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"62","4q","7p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"63","11p","7p",-1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"64","15q","7p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"65","18p","7p",0,4,1,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds 6ce42746-88aa-485f-a1c4-1759aad95914.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"66","17p","7p",0,4,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds ae82fead-2671-4335-a342-67bb69935ad9.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"67","20p","7p",0,2,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds 6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"68","3p","7p",-1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"69","6p","7p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"70","6q","7p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"71","14whole","7p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"72","18q","7p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"73","2p","7p",0,3,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"74","11q","7p",0,1,NA,"OV","bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"75","10p","16p",-1,1,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds"
"76","14whole","16p",1,1,NA,"OV","25f73b03-4ba8-47ba-ad80-6ccb82105c98.rds"
